"","x"
"1616",1.10181818181818
"1617",1.4136
"1618",1.42
"1619",1.42
"1620",1.58896551724138
"1621",1.7775
"1622",1.91388888888889
"1623",2.59770992366412
"1624",3.16
"1625",3.16
"1626",3.16
"1627",3.17653846153846
"1628",3.18
"1629",3.18
"1630",3.18
"1631",3.18
"1632",3.18
"1633",3.18
"1634",3.18
"1635",3.18
"1636",3.18
"1637",3.18
"1638",3.18
"1639",3.18
"1640",3.18
"1641",3.18
"1642",3.18
"1643",3.18
"1644",3.18
"1645",3.18
"1646",3.74109243697479
"1647",4.24
"1648",4.71272727272727
"1649",5.25666666666667
"1650",5.38325
"1651",5.446
"1652",5.45
"1653",5.51659090909091
"1654",5.6696
"1655",6.32730496453901
"1656",7.46875
"1657",7.93592592592593
"1658",7.94
"1659",7.94
"1660",7.94
"1661",7.94
"1662",7.94
"1663",7.94
"1664",7.94
"1665",7.94
"1666",7.94
"1667",7.94
"1668",7.94
"1669",7.94
"1670",7.94
"1671",8.07066666666667
"1672",9.6425974025974
"1673",10.79
"1674",11.1084269662921
"1675",12.7887686567164
"1676",16.4487529411765
"1677",18.7
"1678",18.9316883116883
"1679",19.3314285714286
"1680",20.35
"1681",22.0854054054054
"1682",22.5984
"1683",22.7298275862069
"1684",23.2306578947368
"1685",24.7249315068493
"1686",26.3833653846154
"1687",27.0972222222222
"1688",27.34
"1689",27.7761538461538
"1690",29.1524479166667
"1691",30.8033566433566
"1692",31.8626744186047
"1693",32.12
"1694",32.1911764705882
"1695",32.5795918367347
"1696",32.58
"1697",32.58
"1698",32.58
"1699",32.58
"1700",32.58
"1701",32.58
"1702",32.58
"1703",32.58
"1704",32.58
"1705",32.58
"1706",32.6
"1707",32.6
"1708",32.6
"1709",32.6
"1710",32.8864705882353
"1711",33.3252857142857
